poi_id,name,missing_fields
OSM0334,Haji decoration,phone
OSM0335,আইসিবি ইসলামী ব্যাংক,phone
OSM0336,ডাচ-বাংলা ব্যাংক,"address, phone"
OSM0337,জনতা ব্যাংক,phone
OSM0339,অগ্রণী ব্যাংক,phone
OSM0340,Hotel Grand Glaxy pv Ltd,phone
OSM0341,TTC Mosque,phone
OSM0342,ইবিএল,"address, phone"
OSM0343,আইসিবি ব্যাংক,"address, phone"
OSM0344,Macfy Money exchenge,"address, phone"
OSM0345,Sun City,phone
OSM0346,Sunraj Tailor,phone
OSM0348,rachona,"address, phone"
OSM0351,Photocopi,phone
OSM0353,Dhaka shoej,phone
OSM0354,Dress House,phone
OSM0355,Cafeteria,phone
OSM0356,Bnglar Tat Mela,phone
OSM0357,Rajshahi Silk,phone
OSM0359,PERFECT,phone
OSM0360,PRIED,phone
OSM0361,Khan Fashion,phone
OSM0362,Banglar Sharee Mela,"address, phone"
OSM0363,Barnil Butics,phone
OSM0364,Ingight,phone
OSM0365,Dhakai Jamdani,phone
OSM0366,Bexi Fabrics,phone
OSM0367,New Corner Fashion,phone
OSM0368,Pritymony Fashion,phone
OSM0369,Rajdhani Fashion,phone
OSM0370,Unique Fashion,phone
OSM0371,Lagon,phone
OSM0372,Dhaka Fashion,phone
OSM0373,Jimdal Fashion,phone
OSM0374,N.ALI,phone
OSM0375,ওয়ান ব্যাংক লিমিটেড,"address, phone"
OSM0377,premium cafe,phone
OSM0385,Academia,phone
OSM0386,ধানমন্ডি টিউটোরিয়াল স্কুল,phone
OSM0387,Dental College Hostel,phone
OSM0389,Megh,phone
OSM0392,কমার্শিয়াল ব্যাংক অব সিলন,"address, phone"
OSM0393,অগ্রনী ব্যাংক লিমিটেড,"address, phone"
OSM0396,টেলিটক বাংলাদেশ লিমিটেড,"address, phone"
OSM0397,প্রিমিয়ার ব্যাংক লিমিটেড,"address, phone"
OSM0398,যমুনা ব্যাংক লিমিটেড,"address, phone"
OSM0399,1 to 99,"address, phone"
OSM0402,Ahsania Taat ghor,phone
OSM0411,Madchef,"address, phone"
OSM0412,Takeout,"address, phone"
OSM0413,Gelato,"address, phone"
OSM0414,Glazed,"address, phone"
OSM0416,Vertical Horizon entrance,"address, phone"
OSM0422,Panshee,phone
OSM0423,The Mirror - A Taste Of Fusion Cuisine,phone
OSM0424,Lailaty,"address, phone"
OSM0428,BAC,phone
OSM0429,bbq bangladesh,"address, phone"
OSM0430,rice & noodle dhanmondi,"address, phone"
OSM0431,Chatime,phone
OSM0432,Lalbag hotel,"address, phone"
OSM0433,Ancholik khana,"address, phone"
OSM0434,Consultorio Dental,"address, phone"
OSM0436,Pizza Inn,"address, phone"
OSM0437,oronno school,"address, phone"
OSM0438,Bachelor Point,"address, phone"
OSM0439,Kabab Karigor & Soup,"address, phone"
OSM0441,"Easturn University , Building #4",phone
OSM0442,Eastern university - main campus,"address, phone"
OSM0443,Univerty of london,"address, phone"
OSM0444,"Easturn University , cse campus","address, phone"
OSM0445,Dhaka City college,"address, phone"
OSM0446,popular hospital,"address, phone"
OSM0447,Pizza Hut,phone
OSM0448,Tokkhoshila Bidyalaya,phone
OSM0449,Chillox,phone
OSM0450,C mainor,"address, phone"
OSM0451,biye bari,phone
OSM0452,trump cafe,"address, phone"
OSM0453,hot shef,"address, phone"
OSM0454,glambers,phone
OSM0455,d cafe,phone
OSM0456,ghuha,"address, phone"
OSM0457,Vampire cafe,"address, phone"
OSM0458,vorta bari,"address, phone"
OSM0459,salior,"address, phone"
OSM0460,pasta state,"address, phone"
OSM0461,almas,"address, phone"
OSM0462,Bata,"address, phone"
OSM0463,apex,"address, phone"
OSM0464,bfc,"address, phone"
OSM0466,Red flame,"address, phone"
OSM0467,ranna kabab,"address, phone"
OSM0468,Noir,"address, phone"
OSM0469,kakoli school,"address, phone"
OSM0470,hangout,"address, phone"
OSM0471,dark,"address, phone"
OSM0472,Karbooz,"address, phone"
OSM0473,Ibn Sina Hospital,address
OSM0475,junior labotary,phone
OSM0479,Xinxian Restaurant,phone
OSM0482,Well Food,address
OSM0485,Grameen Check,address
OSM0487,Haji Briyani,"address, phone"
OSM0488,AlFresco,"address, phone"
OSM0489,CFC (California Fried Chicken),"address, phone"
OSM0490,Cooper's Bakery Bangladesh,"address, phone"
OSM0491,Sumi's Hot Cake,"address, phone"
OSM0492,Tasty Treat,"address, phone"
OSM0499,Bangladesh Eye Care Hospital,"address, phone"
OSM0500,ইউনিভার্সিটি ওফ উইমেন ফেডারেশন কলেজ,"address, phone"
OSM0501,Dr. Malika College,"address, phone"
OSM0658,IFIC Bank,phone
OSM0659,Men's Mirror,"address, phone"
